run	arm	year	gdp	pool	cgoods	exp	sal	unemp	peasW	lvTotal	constr	owner	subsist	urban	gov	mil	trade	econ	econUntier	e0	e1	e2	e3	e4	e5	dLvAdd	dLvRem	ptsAdd	econAdd	econPts	eAdd0	eAdd1	eAdd2	eAdd3	eAdd4	eAdd5	profE	staffE
run001_canon	mod	1837	422058761.5098398	9200962.602	818272.68	2469793.9420600007	54137320	8373027	208470111	100683	456	32856	50356	732	889	1696	394	13304	9442	3335	476	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95/528/1528///	0.9/0.89/1///
run001_canon	mod	1838	423977387.92239964	15792526.660889998	606662.7899999999	2283651.734130001	54205224	9718982	210525135	100960	471	33128	50252	738	949	1696	404	13322	9423	3356	484	59	0	0	0	587	310	185635	224	61060	29	8	8	0	0	0	111/563/1439///	0.88/0.89/0.93///
run001_canon	mod	1839	435245245.8977995	21642190.449630026	605283.3500000001	2421584.337549998	54971787	10939844	212138969	101536	495	33370	50165	757	986	1726	420	13617	9703	3357	493	64	0	0	0	670	94	227180	302	99780	7	9	5	0	0	0	118/578/1399///	0.86/0.89/0.93///
run001_canon	mod	1840	451665660.86564016	29899865.468849976	655305.69	2549221.968719996	55953846	12202848	213622704	102042	520	33568	50060	779	1017	1817	445	13836	9906	3355	509	66	0	0	0	660	154	216105	268	81580	5	16	2	0	0	0	124/570/1233///	0.88/0.89/0.94///
run001_canon	mod	1841	463278951.86248076	39384598.367719956	739540.1500000003	2493920.6918099993	56600856	13545737	214881360	102266	528	33766	49946	810	1066	1838	475	13837	9876	3366	521	74	0	0	0	571	347	187000	234	75000	13	12	8	0	0	0	120/570/1171///	0.86/0.88/0.87///
run001_canon	mod	1842	475348766.5513598	47668582.01032997	707704.01	2462133.7468399988	57304447	15157446	216144692	102626	554	33919	49827	834	1117	1874	499	14002	10004	3380	541	77	0	0	0	579	219	181270	265	83420	15	20	3	0	0	0	123/561/968///	0.86/0.87/0.87///
run001_canon	mod	1843	482320869.5364804	55559439.981599964	611151.5799999998	2461205.5340400026	57658126	16918820	217340505	103014	541	34061	49725	857	1156	1888	518	14268	10230	3394	559	85	0	0	0	530	142	178940	293	96440	14	19	8	0	0	0	127/510/936///	0.85/0.85/0.83///
run001_canon	mod	1844	497302798.47664046	64913760.53444994	930905.81	2860046.2540899953	58413769	18116446	218376968	103380	538	34200	49618	887	1197	1880	545	14515	10450	3408	562	95	0	0	0	516	150	169280	279	91280	14	6	10	0	0	0	124/549/968///	0.85/0.85/0.78///
run001_canon	mod	1845	488366629.6834004	71857349.34128998	645745.9200000002	2464025.649880002	56879522	18957913	211982738	103649	550	34273	49498	918	1259	1879	559	14713	10602	3434	575	102	0	0	0	458	189	137600	266	82400	26	13	7	0	0	0	129/548/935///	0.85/0.86/0.82///
run001_canon	mod	1846	516996181.12636	80851527.01610987	644518.74	2558411.50088	60119872	20430363	219242897	103923	553	34324	49391	947	1299	1924	591	14894	10741	3451	593	109	0	0	0	457	183	147895	257	84920	17	18	7	0	0	0	142/585/886///	0.85/0.85/0.79///
