Game Date 	Time Unit 	Seconds
1836_03_01	Month	4.535080
36_01_01	Day	0.052783
1836_01_02	Day	0.102685
1836_01_02	Day	0.053186
1836_01_02	Day	0.030183
1836_01_02	Day	0.033161
1836_01_03	Day	0.052680
1836_01_03	Day	0.043798
1836_01_03	Day	0.036386
1836_01_03	Day	0.031319
1836_01_04	Day	0.051371
1836_01_04	Day	0.039970
1836_01_04	Day	0.035995
1836_01_04	Day	0.076618
1836_01_05	Day	0.052822
1836_01_05	Day	0.045878
1836_01_05	Day	0.028395
1836_01_05	Day	0.028544
1836_01_06	Day	0.187817
1836_01_06	Day	0.060381
1836_01_06	Day	0.024478
1836_01_06	Day	0.025589
1836_01_07	Day	0.051542
1836_01_07	Day	0.037728
1836_01_07	Day	0.040818
1836_01_07	Day	0.049149
1836_01_08	Day	0.052623
1836_01_08	Day	0.053552
1836_01_08	Day	0.024699
1836_01_08	Day	0.031838
1836_01_09	Day	0.052775
1836_01_09	Day	0.031980
1836_01_09	Day	0.032603
1836_01_09	Day	0.026313
1836_01_10	Day	0.066666
1836_01_10	Day	0.040187
1836_01_10	Day	0.024986
1836_01_10	Day	0.030648
1836_01_11	Day	0.049989
1836_01_11	Day	0.038657
1836_01_11	Day	0.028825
1836_01_11	Day	0.030932
1836_01_12	Day	0.054401
1836_01_12	Day	0.033329
1836_01_12	Day	0.025254
1836_01_12	Day	0.023346
1836_01_13	Day	0.175246
1836_01_13	Day	0.072333
1836_01_13	Day	0.024000
1836_01_13	Day	0.023266
1836_01_14	Day	0.048635
1836_01_14	Day	0.037223
1836_01_14	Day	0.033161
1836_01_14	Day	0.030276
1836_01_15	Day	0.049275
1836_01_15	Day	0.040922
1836_01_15	Day	0.027754
1836_01_15	Day	0.025921
1836_01_16	Day	0.044929
1836_01_16	Day	0.027269
1836_01_16	Day	0.035113
1836_01_16	Day	0.022616
1836_01_17	Day	0.044171
1836_01_17	Day	0.039754
1836_01_17	Day	0.022815
1836_01_17	Day	0.027575
1836_01_18	Day	0.047063
1836_01_18	Day	0.033850
1836_01_18	Day	0.024158
1836_01_18	Day	0.043967
1836_01_19	Day	0.041640
1836_01_19	Day	0.032773
1836_01_19	Day	0.029627
1836_01_19	Day	0.024830
1836_01_20	Day	0.167325
1836_01_20	Day	0.075005
1836_01_20	Day	0.024000
1836_01_20	Day	0.028610
1836_01_21	Day	0.048714
1836_01_21	Day	0.047272
1836_01_21	Day	0.023364
1836_01_21	Day	0.022737
1836_01_22	Day	0.050800
1836_01_22	Day	0.036821
1836_01_22	Day	0.025188
1836_01_22	Day	0.039156
1836_01_23	Day	0.050010
1836_01_23	Day	0.037128
1836_01_23	Day	0.037995
1836_01_23	Day	0.034547
1836_01_24	Day	0.046245
1836_01_24	Day	0.037238
1836_01_24	Day	0.022712
1836_01_24	Day	0.024788
1836_01_25	Day	0.044272
1836_01_25	Day	0.041306
1836_01_25	Day	0.029113
1836_01_25	Day	0.026112
1836_01_26	Day	0.048583
1836_01_26	Day	0.037130
1836_01_26	Day	0.025615
1836_01_26	Day	0.020573
1836_01_27	Day	0.167907
1836_01_27	Day	0.076048
1836_01_27	Day	0.021670
1836_01_27	Day	0.023977
1836_01_28	Day	0.049015
1836_01_28	Day	0.035354
1836_01_28	Day	0.020728
1836_01_28	Day	0.019988
1836_01_29	Day	0.039815
1836_01_29	Day	0.081870
1836_01_29	Day	0.020438
1836_01_29	Day	0.039743
1836_01_30	Day	0.045746
1836_01_30	Day	0.034385
1836_01_30	Day	0.020562
1836_01_30	Day	0.022935
1836_01_31	Day	0.038476
1836_01_31	Day	0.032436
1836_01_31	Day	0.020656
1836_01_31	Day	0.019047
1836_02_01	Day	0.142062
1836_02_01	Day	0.033650
1836_02_01	Day	0.022684
1836_02_01	Day	0.042121
1836_02_02	Day	0.048675
1836_02_02	Day	0.041416
1836_02_02	Day	0.023437
1836_02_02	Day	0.044903
1836_02_03	Day	0.165274
1836_02_03	Day	0.053841
1836_02_03	Day	0.027974
1836_02_03	Day	0.020754
1836_02_04	Day	0.048927
1836_02_04	Day	0.034000
1836_02_04	Day	0.019981
1836_02_04	Day	0.024195
1836_02_05	Day	0.051783
1836_02_05	Day	0.027143
1836_02_05	Day	0.025595
1836_02_05	Day	0.022335
1836_02_06	Day	0.060842
1836_02_06	Day	0.029942
1836_02_06	Day	0.017687
1836_02_06	Day	0.021709
1836_02_07	Day	0.050703
1836_02_07	Day	0.029496
1836_02_07	Day	0.019694
1836_02_07	Day	0.020204
1836_02_08	Day	0.049736
1836_02_08	Day	0.031563
1836_02_08	Day	0.019139
1836_02_08	Day	0.026437
1836_02_09	Day	0.046250
1836_02_09	Day	0.056898
1836_02_09	Day	0.038846
1836_02_09	Day	0.024973
1836_02_10	Day	0.181206
1836_02_10	Day	0.054303
1836_02_10	Day	0.023158
1836_02_10	Day	0.021968
1836_02_11	Day	0.056827
1836_02_11	Day	0.032434
1836_02_11	Day	0.019829
1836_02_11	Day	0.017981
1836_02_12	Day	0.049281
1836_02_12	Day	0.031357
1836_02_12	Day	0.025049
1836_02_12	Day	0.037865
1836_02_13	Day	0.047141
1836_02_13	Day	0.046590
1836_02_13	Day	0.024900
1836_02_13	Day	0.018772
1836_02_14	Day	0.049829
1836_02_14	Day	0.036694
1836_02_14	Day	0.037815
1836_02_14	Day	0.028004
1836_02_15	Day	0.060228
1836_02_15	Day	0.048624
1836_02_15	Day	0.018874
1836_02_15	Day	0.029500
1836_02_16	Day	0.047523
1836_02_16	Day	0.038500
1836_02_16	Day	0.026046
1836_02_16	Day	0.020970
1836_02_17	Day	0.173971
1836_02_17	Day	0.060892
1836_02_17	Day	0.027394
1836_02_17	Day	0.043473
1836_02_18	Day	0.042896
1836_02_18	Day	0.047967
1836_02_18	Day	0.022095
1836_02_18	Day	0.018998
1836_02_19	Day	0.043307
1836_02_19	Day	0.041821
1836_02_19	Day	0.021734
1836_02_19	Day	0.018794
1836_02_20	Day	0.039715
1836_02_20	Day	0.041716
1836_02_20	Day	0.031306
1836_02_20	Day	0.021832
1836_02_21	Day	0.045648
1836_02_21	Day	0.031692
1836_02_21	Day	0.044618
1836_02_21	Day	0.028838
1836_02_22	Day	0.043409
1836_02_22	Day	0.044191
1836_02_22	Day	0.019545
1836_02_22	Day	0.021094
1836_02_23	Day	0.044969
1836_02_23	Day	0.032229
1836_02_23	Day	0.016664
1836_02_23	Day	0.018987
1836_02_24	Day	0.179298
1836_02_24	Day	0.056624
1836_02_24	Day	0.018152
1836_02_24	Day	0.028150
1836_02_25	Day	0.067464
1836_02_25	Day	0.031976
1836_02_25	Day	0.019628
1836_02_25	Day	0.020305
1836_02_26	Day	0.060321
1836_02_26	Day	0.032567
1836_02_26	Day	0.025349
1836_02_26	Day	0.020267
1836_02_27	Day	0.052387
1836_02_27	Day	0.057224
1836_02_27	Day	0.018710
1836_02_27	Day	0.039213
1836_02_28	Day	0.040744
1836_02_28	Day	0.037772
1836_02_28	Day	0.018930
1836_02_28	Day	0.029470
1836_03_01	Day	0.136663
1836_03_01	Day	0.037914
