arm	run_n	run	dump_date	tag	market	good	buy_orders	sell_orders	price	status
vanilla	1	1	1836.2.1	GBR	British Market	ammunition	113.50	101.99	54.22	ok
vanilla	1	1	1836.2.1	GBR	British Market	small_arms	680.59	640.51	62.81	ok
vanilla	1	1	1836.2.1	GBR	British Market	artillery	75.08	68.33	75.18	ok
vanilla	1	1	1836.2.1	GBR	British Market	grain	10744.87	11469.33	18.98	ok
vanilla	1	1	1836.2.1	GBR	British Market	fish	2078.29	2050.06	20.20	ok
vanilla	1	1	1836.2.1	GBR	British Market	fabric	5702.11	6081.19	19.00	ok
vanilla	1	1	1836.2.1	GBR	British Market	wood	5130.52	4735.32	21.25	ok
vanilla	1	1	1836.2.1	GBR	British Market	groceries	1637.22	858.48	50.40	ok
vanilla	1	1	1836.2.1	GBR	British Market	clothes	5107.23	6280.45	24.83	ok
vanilla	1	1	1836.2.1	GBR	British Market	furniture	4018.86	4031.80	29.92	ok
vanilla	1	1	1836.2.1	GBR	British Market	paper	1517.39	1032.20	40.57	ok
vanilla	1	1	1836.2.1	GBR	British Market	services	4936.51	7789.07	16.99	ok
vanilla	1	1	1836.2.1	GBR	British Market	transportation	3025.69	757.80	52.50	ok
vanilla	1	1	1836.2.1	GBR	British Market	merchant_marine	399.35	539.92	36.80	ok
vanilla	1	1	1836.2.1	GBR	British Market	clippers	748.58	1114.30	38.01	ok
vanilla	1	1	1836.2.1	GBR	British Market	silk	1092.54	731.15	54.82	ok
vanilla	1	1	1836.2.1	GBR	British Market	dye	576.11	2180.74	10.00	ok
vanilla	1	1	1836.2.1	GBR	British Market	sulfur	197.69	183.88	52.81	ok
vanilla	1	1	1836.2.1	GBR	British Market	coal	2388.01	3049.83	23.76	ok
vanilla	1	1	1836.2.1	GBR	British Market	iron	1205.42	715.12	60.56	ok
vanilla	1	1	1836.2.1	GBR	British Market	lead	118.29	172.64	26.21	ok
vanilla	1	1	1836.2.1	GBR	British Market	hardwood	1386.51	809.04	61.41	ok
vanilla	1	1	1836.2.1	GBR	British Market	oil	85.06	61.00	51.83	ok
vanilla	1	1	1836.2.1	GBR	British Market	engines	113.58	123.58	56.04	ok
vanilla	1	1	1836.2.1	GBR	British Market	steel	568.88	561.60	50.48	ok
vanilla	1	1	1836.2.1	GBR	British Market	glass	263.06	288.72	37.07	ok
vanilla	1	1	1836.2.1	GBR	British Market	fertilizer	404.27	267.24	41.53	ok
vanilla	1	1	1836.2.1	GBR	British Market	tools	1926.53	1888.80	40.59	ok
vanilla	1	1	1836.2.1	GBR	British Market	explosives	40.79	27.74	67.64	ok
vanilla	1	1	1836.2.1	GBR	British Market	porcelain	202.49	113.61	111.07	ok
vanilla	1	1	1836.2.1	GBR	British Market	meat	1510.95	977.21	42.28	ok
vanilla	1	1	1836.2.1	GBR	British Market	fruit	1764.51	888.13	52.20	ok
vanilla	1	1	1836.2.1	GBR	British Market	liquor	1700.94	2441.10	20.20	ok
